fleet,year,seas,Fvalue,se,phase
2,1962,1,0.0122143,0.005,1
2,1963,1,0.0153334,0.005,1
2,1964,1,0.0156615,0.005,1
2,1965,1,0.0182812,0.005,1
2,1966,1,0.0180967,0.005,1
2,1967,1,0.0171712,0.005,1
2,1968,1,0.0183976,0.005,1
2,1969,1,0.0215042,0.005,1
2,1970,1,0.0158113,0.005,1
2,1971,1,0.0192299,0.005,1
2,1972,1,0.0127725,0.005,1
2,1973,1,0.0168402,0.005,1
2,1974,1,0.0210128,0.005,1
2,1975,1,0.0290127,0.005,1
2,1976,1,0.109672,0.005,1
2,1977,1,0.0841337,0.005,1
2,1978,1,0.0617817,0.005,1
2,1979,1,1.03811,0.005,1
2,1980,1,0.157973,0.005,1
2,1981,1,0.730674,0.005,1
2,1982,1,0.280925,0.005,1
2,1983,1,0.344608,0.005,1
2,1984,1,0.112235,0.005,1
2,1985,1,0.212796,0.005,1
2,1986,1,0.216276,0.005,1
2,1987,1,0.711447,0.005,1
2,1988,1,0.751293,0.005,1
2,1989,1,1.35672,0.005,1
2,1990,1,0.845572,0.005,1
2,1991,1,0.735365,0.005,1
2,1992,1,1.13588,0.005,1
2,1993,1,0.329584,0.005,1
2,1994,1,0.255406,0.005,1
2,1995,1,0.757254,0.005,1
2,1996,1,0.250753,0.005,1
2,1997,1,1.97662,0.005,1
2,1998,1,1.47677,0.005,1
2,1999,1,1.24245,0.005,1
2,2000,1,1.13138,0.005,1
2,2001,1,1.5976,0.005,1
2,2002,1,1.89936,0.005,1
2,2003,1,1.4266,0.005,1
2,2004,1,1.37051,0.005,1
2,2005,1,2.48707,0.005,1
2,2006,1,0,0.005,1
2,2007,1,0,0.005,1
2,2008,1,0,0.005,1
2,2009,1,0,0.005,1
2,2010,1,0,0.005,1
2,2011,1,0,0.005,1
2,2012,1,0,0.005,1
2,2013,1,0,0.005,1
2,2014,1,0,0.005,1
2,2015,1,0,0.005,1
2,2016,1,0,0.005,1
2,2017,1,0,0.005,1
2,2018,1,0,0.005,1
2,2019,1,0,0.005,1
2,2020,1,0,0.005,1
2,2021,1,0,0.005,1
2,2022,1,0,0.005,1
2,2023,1,0,0.005,1
2,2024,1,0,0.005,1
2,2025,1,0,0.005,1
2,2026,1,0,0.005,1
2,2027,1,0,0.005,1
2,2028,1,0,0.005,1
2,2029,1,0,0.005,1
2,2030,1,0,0.005,1
2,2031,1,0,0.005,1
2,2032,1,0,0.005,1
2,2033,1,0,0.005,1
2,2034,1,0,0.005,1
2,2035,1,0,0.005,1
2,2036,1,0,0.005,1
2,2037,1,0,0.005,1
2,2038,1,0,0.005,1
2,2039,1,0,0.005,1
2,2040,1,0,0.005,1
2,2041,1,0,0.005,1
2,2042,1,0,0.005,1
2,2043,1,0,0.005,1
2,2044,1,0,0.005,1
2,2045,1,0,0.005,1
2,2046,1,0,0.005,1
2,2047,1,0,0.005,1
2,2048,1,0,0.005,1
2,2049,1,0,0.005,1
2,2050,1,0,0.005,1
2,2051,1,0,0.005,1
2,2052,1,0,0.005,1
2,2053,1,0,0.005,1
2,2054,1,0,0.005,1
2,2055,1,0,0.005,1
2,2056,1,0,0.005,1
2,2057,1,0,0.005,1
2,2058,1,0,0.005,1
2,2059,1,0,0.005,1
2,2060,1,0,0.005,1
2,2061,1,0,0.005,1
2,2062,1,0,0.005,1
2,2063,1,0,0.005,1
2,2064,1,0,0.005,1
2,2065,1,0,0.005,1
2,2066,1,0,0.005,1
2,2067,1,0,0.005,1
2,2068,1,0,0.005,1
2,2069,1,0,0.005,1
2,2070,1,0,0.005,1
2,2071,1,0,0.005,1
2,2072,1,0,0.005,1
2,2073,1,0,0.005,1
2,2074,1,0,0.005,1
3,1962,1,0,0.005,1
3,1963,1,0,0.005,1
3,1964,1,0,0.005,1
3,1965,1,0,0.005,1
3,1966,1,0,0.005,1
3,1967,1,0,0.005,1
3,1968,1,0,0.005,1
3,1969,1,0,0.005,1
3,1970,1,0,0.005,1
3,1971,1,0,0.005,1
3,1972,1,0,0.005,1
3,1973,1,0,0.005,1
3,1974,1,0,0.005,1
3,1975,1,0,0.005,1
3,1976,1,0,0.005,1
3,1977,1,0,0.005,1
3,1978,1,0,0.005,1
3,1979,1,0,0.005,1
3,1980,1,0,0.005,1
3,1981,1,0,0.005,1
3,1982,1,0,0.005,1
3,1983,1,0,0.005,1
3,1984,1,0,0.005,1
3,1985,1,0,0.005,1
3,1986,1,0,0.005,1
3,1987,1,0,0.005,1
3,1988,1,0,0.005,1
3,1989,1,0,0.005,1
3,1990,1,0,0.005,1
3,1991,1,0,0.005,1
3,1992,1,0,0.005,1
3,1993,1,0,0.005,1
3,1994,1,0,0.005,1
3,1995,1,0,0.005,1
3,1996,1,0,0.005,1
3,1997,1,0,0.005,1
3,1998,1,0,0.005,1
3,1999,1,0,0.005,1
3,2000,1,0,0.005,1
3,2001,1,0,0.005,1
3,2002,1,0,0.005,1
3,2003,1,0,0.005,1
3,2004,1,0,0.005,1
3,2005,1,0,0.005,1
3,2006,1,5.59007,0.005,1
3,2007,1,6.28297,0.005,1
3,2008,1,4.82783,0.005,1
3,2009,1,2.5811,0.005,1
3,2010,1,3.06727,0.005,1
3,2011,1,3.29619,0.005,1
3,2012,1,2.59983,0.005,1
3,2013,1,1.55154,0.005,1
3,2014,1,1.39393,0.005,1
3,2015,1,1.0989,0.005,1
3,2016,1,1.2596,0.005,1
3,2017,1,1.89949,0.005,1
3,2018,1,1.5634,0.005,1
3,2019,1,1.63761,0.005,1
3,2020,1,1.45179,0.005,1
3,2021,1,1.31026,0.005,1
3,2022,1,1.1349,0.005,1
3,2023,1,1.08211,0.005,1
3,2024,1,1.31488,0.005,1
3,2025,1,0.548421,0.005,1
3,2026,1,0.236814603,0.005,1
3,2027,1,0.236814603,0.005,1
3,2028,1,0.236814603,0.005,1
3,2029,1,0.236814603,0.005,1
3,2030,1,0.236814603,0.005,1
3,2031,1,0.236814603,0.005,1
3,2032,1,0.236814603,0.005,1
3,2033,1,0.236814603,0.005,1
3,2034,1,0.236814603,0.005,1
3,2035,1,0.236814603,0.005,1
3,2036,1,0.236814603,0.005,1
3,2037,1,0.236814603,0.005,1
3,2038,1,0.236814603,0.005,1
3,2039,1,0.236814603,0.005,1
3,2040,1,0.236814603,0.005,1
3,2041,1,0.236814603,0.005,1
3,2042,1,0.236814603,0.005,1
3,2043,1,0.236814603,0.005,1
3,2044,1,0.236814603,0.005,1
3,2045,1,0.236814603,0.005,1
3,2046,1,0.236814603,0.005,1
3,2047,1,0.236814603,0.005,1
3,2048,1,0.236814603,0.005,1
3,2049,1,0.236814603,0.005,1
3,2050,1,0.236814603,0.005,1
3,2051,1,0.236814603,0.005,1
3,2052,1,0.236814603,0.005,1
3,2053,1,0.236814603,0.005,1
3,2054,1,0.236814603,0.005,1
3,2055,1,0.236814603,0.005,1
3,2056,1,0.236814603,0.005,1
3,2057,1,0.236814603,0.005,1
3,2058,1,0.236814603,0.005,1
3,2059,1,0.236814603,0.005,1
3,2060,1,0.236814603,0.005,1
